boundary_index,candidate_id,cohort,material,path,step_cm,volume,x_cm,y_cm,z_cm
32,afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,Aluminium,/cave_1/DecayVolume_1/T2_1/VetoVerticalRib_0/VetoVerticalRib_z1146_0,80.53458683087467,VetoVerticalRib_z1146,-102.49493977003235,18.49967356091617,4458.0
33,afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,LiquidScintillator,/cave_1/DecayVolume_1/T2_1/VetoLiSc_0/LiScY_221420_221422,1.5006444751093801,LiScY_221420,-102.53814980623696,18.50784261519223,4459.5
34,afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,Aluminium,/cave_1/DecayVolume_1/T2_1/VetoVerticalRib_0/VetoVerticalRib_z1228_0,80.53458683087467,VetoVerticalRib_z1228,-104.85708841588465,18.946248528007434,4540.0
35,afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,LiquidScintillator,/cave_1/DecayVolume_1/T2_1/VetoLiSc_0/LiScY_221520_221522,1.5006444751093801,LiScY_221520,-104.90029845208926,18.954417582283494,4541.5
36,afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,Aluminium,/cave_1/DecayVolume_1/T2_1/VetoVerticalRib_0/VetoVerticalRib_z1310_0,80.53458683087467,VetoVerticalRib_z1310,-107.21923706173695,19.392823495098696,4622.0
37,afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,LiquidScintillator,/cave_1/DecayVolume_1/T2_1/VetoLiSc_0/LiScY_221620_221622,1.5006444751093801,LiScY_221620,-107.26244709794156,19.400992549374756,4623.5
38,afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,Aluminium,/cave_1/DecayVolume_1/T2_1/VetoVerticalRib_0/VetoVerticalRib_z1392_0,80.53458683087467,VetoVerticalRib_z1392,-109.58138570758925,19.83939846218996,4704.0
39,afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,LiquidScintillator,/cave_1/DecayVolume_1/T2_1/VetoLiSc_0/LiScY_221720_221722,1.5006444751093801,LiScY_221720,-109.62459574379386,19.847567516466018,4705.5
40,afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,Aluminium,/cave_1/DecayVolume_1/T2_1/VetoVerticalRib_0/VetoVerticalRib_z1474_0,80.53458683087467,VetoVerticalRib_z1474,-111.94353435344155,20.28597342928122,4786.0
41,afterms-sample-a45fc522-row-25740,empirical_sbt_positive_control,LiquidScintillator,/cave_1/DecayVolume_1/T2_1/VetoLiSc_0/LiScY_221820_221822,1.5006444751093801,LiScY_221820,-111.98674438964616,20.29414248355728,4787.5
